tarball,time_to_compute_cmaps_and_hashes,number_of_files,size_of_db_hash_index_in_mem,size_of_db_hash_index_on_disk
tarball_00,62.98394699999335,586,190090376,39794431
tarball_01,58.932821099995635,557,179161704,37617264
tarball_02,67.28802499999438,573,182681376,38216855
tarball_03,60.24362100000144,560,177928472,37197100
tarball_04,100.27677170000243,556,180826336,37933707
tarball_05,63.30954870000278,561,179912872,37700427
tarball_06,62.81642900000588,560,182540304,38467298
tarball_07,54.67525729999761,531,171984608,35873006
tarball_08,55.7847299999994,531,174962496,36437005
tarball_09,61.922816400001466,519,172270832,35929547
tarball_10,61.07021520000126,508,164035160,34440334
tarball_11,59.36511440000322,531,171798408,35810179
tarball_12,64.52879920000123,518,170702328,35951240
tarball_13,64.30399890000263,529,171829024,36108418
tarball_14,64.03036990000692,528,170902416,35813296
tarball_15,64.6588516999982,541,176451824,37061344
tarball_16,65.26659590000054,549,180142856,37784210
tarball_17,65.60072289999516,559,182412920,38271520
tarball_18,61.39410879999923,547,178072088,37103803
tarball_19,62.66654579999886,540,177935344,37218225
tarball_20,91.66551900000195,541,177029072,36982108
tarball_21,64.21845690000191,554,182087632,38089177
tarball_22,60.16206319999765,571,184536824,38646261
tarball_23,60.19741900000372,564,182254312,38203331
tarball_24,57.850361099997826,555,178411296,37257920
tarball_25,56.358130900000106,520,168009776,35138419
tarball_26,56.90441009999631,511,163539848,34113237
tarball_27,57.81009769999946,537,173150808,36089958
tarball_28,61.755653299995174,557,179481408,37565519
tarball_29,60.03947670000343,549,179405776,37622417
tarball_30,53.458391300002404,513,167112616,34815530
tarball_31,57.703756599999906,549,176314072,36852501
tarball_32,59.286294099998486,555,179492776,37759612
tarball_33,53.221894399997836,535,170118896,35920662
tarball_34,60.38186760000099,554,175744608,36912805
tarball_35,58.65106309999828,562,183730112,38720433
tarball_36,57.05244959999982,545,175529680,36688358
tarball_37,56.272684099996695,538,173695672,36575573
tarball_38,59.91847819999384,555,178946328,37611250
tarball_39,58.360862699999416,568,184062536,38527926
tarball_40,59.7476628000004,574,183962224,38616256
tarball_41,59.896597300001304,578,185470384,38754074
tarball_42,58.65472220000083,560,181783728,38022455
tarball_43,58.93650460000208,578,187659616,39232188
tarball_44,55.83297040000616,549,179098264,37471528
tarball_45,58.253951400001824,566,184351280,38544031
tarball_46,58.098490900003526,565,181749120,38230200
tarball_47,58.73435860000609,576,185316800,39116841
tarball_48,60.95171140000457,578,187417488,39384256
tarball_49,54.6097843000025,537,174750704,36436774
tarball_50,56.17425779999758,554,179336760,37453889
tarball_51,60.877828099997714,571,186527952,39356676
tarball_52,58.59635079999862,564,182945296,38243577
tarball_53,59.74929140000313,582,185205688,38883814
tarball_54,61.568842299995595,589,188509368,39837854
tarball_55,78.95203380000021,604,193704256,40764068
tarball_56,81.38264730000083,610,195360904,40943808
tarball_57,68.95670579999569,598,191356984,40382493
tarball_58,77.71274779999658,593,189319824,39672778
tarball_59,70.11415649999981,608,194881944,40966885
tarball_60,69.63855320000584,605,194091408,40820352
